Epoch,Train Loss,Val Loss,Train PPL,Val PPL
1,3.7142,4.8069,41.02,122.36
2,4.0041,4.7950,54.82,120.90
3,3.7917,4.7715,44.33,118.10
4,3.7530,4.7366,42.65,114.05
5,3.6130,4.6900,37.08,108.86
6,3.7084,4.6335,40.79,102.87
7,3.7061,4.5676,40.70,96.31
8,3.7352,4.4923,41.90,89.33
9,3.5421,4.4075,34.54,82.06
10,3.6163,4.3131,37.20,74.67
